"County Code","District Code","School Code","Filler","Test Year","Subgroup ID","Test Type","Total CAASPP Enrollment","Total Tested At Entity Level","Total Tested with Scores","Grade","Test Id","CAASPP Reported Enrollment","Students Tested","Mean Scale Score","Percentage Standard Exceeded","Percentage Standard Met","Percentage Standard Met and Above","Percentage Standard Nearly Met","Percentage Standard Not Met","Students with Scores","Area 1 Percentage Above Standard","Area 1 Percentage Near Standard","Area 1 Percentage Below Standard","Area 2 Percentage Above Standard","Area 2 Percentage Near Standard","Area 2 Percentage Below Standard","Area 3 Percentage Above Standard","Area 3 Percentage Near Standard","Area 3 Percentage Below Standard","Area 4 Percentage Above Standard","Area 4 Percentage Near Standard","Area 4 Percentage Below Standard"
"41","69039","6044887",,2016,99,"B",233,"232",231,3,"1",82,"81","2394.7","15","15","30","35","35","80","15","40","45","12","41","47","13","70","18","9","60","31"
"41","69039","6044887",,2016,99,"B",233,"232",231,4,"1",83,"83","2448.7","16","16","31","36","33","83","18","42","40","16","53","31","6","76","18","17","59","24"
"41","69039","6044887",,2016,99,"B",233,"232",231,4,"2",83,"83","2449.9","10","18","28","43","29","83","14","29","57","11","52","37","17","47","36","0","0","0"
"41","69039","6044887",,2016,99,"B",233,"232",231,5,"2",68,"68","2519.1","19","25","44","38","18","68","25","46","29","21","56","24","21","57","22","0","0","0"
"41","69039","6044887",,2016,99,"B",233,"232",231,5,"1",68,"68","2493.6","16","31","47","21","32","68","16","50","34","25","35","40","13","68","19","28","63","9"
"41","69039","6044887",,2016,99,"B",233,"232",231,13,"1",233,"232","","16","20","35","31","33","231","16","44","40","17","44","39","10","71","18","17","61","22"
"41","69039","6044887",,2016,99,"B",233,"232",231,13,"2",233,"232","","14","20","34","41","25","231","19","36","45","16","57","28","16","58","25","0","0","0"
"41","69039","6044887",,2016,111,"B",110,"109",108,3,"1",32,"31","2442.2","33","23","57","30","13","30","33","40","27","31","52","17","23","67","10","13","67","20"
"41","69039","6044887",,2016,111,"B",110,"109",108,3,"2",32,"31","2460.8","37","23","60","33","7","30","43","40","17","40","47","13","37","53","10","0","0","0"
"41","69039","6044887",,2016,111,"B",110,"109",108,4,"2",42,"42","2465.0","14","21","36","43","21","42","19","33","48","14","67","19","19","45","36","0","0","0"
"41","69039","6044887",,2016,111,"B",110,"109",108,4,"1",42,"42","2474.9","24","24","48","29","24","42","29","45","26","26","57","17","7","79","14","24","60","17"
"41","69039","6044887",,2016,111,"B",110,"109",108,5,"1",36,"36","2536.0","28","42","69","22","8","36","28","53","19","39","44","17","22","72","6","42","53","6"
"41","69039","6044887",,2016,111,"B",110,"109",108,5,"2",36,"36","2549.7","36","28","64","33","3","36","42","47","11","33","53","14","36","50","14","0","0","0"
"41","69039","6044887",,2016,111,"B",110,"109",108,13,"2",110,"109","","28","24","52","37","11","108","33","40","27","28","56","16","30","49","21","0","0","0"
"41","69039","6044887",,2016,111,"B",110,"109",108,13,"1",110,"109","","28","30","57","27","16","108","30","46","24","32","51","17","17","73","10","27","59","14"
"41","69039","6044887",,2016,121,"B",9,"9",9,3,"2",1,"1","*","*","*","*","*","*","1","*","*","*","*","*","*","*","*","*","*","*","*"
